numExamplesUsed	epoch	score	AUC	condition
1272	0	NaN	0.766184	error_enrichment_ne=8
2544	1	NaN	0.798659	error_enrichment_ne=8
3816	2	NaN	0.810792	error_enrichment_ne=8
5088	3	NaN	0.801345	error_enrichment_ne=8
6360	4	NaN	0.812771	error_enrichment_ne=8
7632	5	NaN	0.810087	error_enrichment_ne=8
8904	6	NaN	0.829228	error_enrichment_ne=8
10176	7	NaN	0.839388	error_enrichment_ne=8
11448	8	NaN	0.848787	error_enrichment_ne=8
12720	9	NaN	0.847021	error_enrichment_ne=8
13992	10	NaN	0.846129	error_enrichment_ne=8
15264	11	NaN	0.841019	error_enrichment_ne=8
16536	12	NaN	0.848148	error_enrichment_ne=8
17808	13	NaN	0.852497	error_enrichment_ne=8
19080	14	NaN	0.855067	error_enrichment_ne=8
20352	15	NaN	0.857448	error_enrichment_ne=8
21624	16	NaN	0.853079	error_enrichment_ne=8
22896	17	NaN	0.848881	error_enrichment_ne=8
24168	18	NaN	0.859461	error_enrichment_ne=8
25440	19	NaN	0.857313	error_enrichment_ne=8
26712	20	NaN	0.857998	error_enrichment_ne=8
27984	21	NaN	0.860471	error_enrichment_ne=8
29256	22	NaN	0.856700	error_enrichment_ne=8
30528	23	NaN	0.865636	error_enrichment_ne=8
31800	24	NaN	0.859938	error_enrichment_ne=8
33072	25	NaN	0.861186	error_enrichment_ne=8
34344	26	NaN	0.864095	error_enrichment_ne=8
35616	27	NaN	0.858420	error_enrichment_ne=8
36888	28	NaN	0.863362	error_enrichment_ne=8
38160	29	NaN	0.866851	error_enrichment_ne=8
39432	30	NaN	0.857417	error_enrichment_ne=8
40704	31	NaN	0.866346	error_enrichment_ne=8
41976	32	NaN	0.858622	error_enrichment_ne=8
43248	33	NaN	0.869966	error_enrichment_ne=8
44520	34	NaN	0.864723	error_enrichment_ne=8
45792	35	NaN	0.865043	error_enrichment_ne=8
47064	36	NaN	0.870045	error_enrichment_ne=8
48336	37	NaN	0.865871	error_enrichment_ne=8
49608	38	NaN	0.867633	error_enrichment_ne=8
50880	39	NaN	0.864264	error_enrichment_ne=8
52152	40	NaN	0.865638	error_enrichment_ne=8
53424	41	NaN	0.868914	error_enrichment_ne=8
54696	42	NaN	0.859340	error_enrichment_ne=8
55968	43	NaN	0.869055	error_enrichment_ne=8
57240	44	NaN	0.864148	error_enrichment_ne=8
58512	45	NaN	0.870116	error_enrichment_ne=8
59784	46	NaN	0.861452	error_enrichment_ne=8
61056	47	NaN	0.869484	error_enrichment_ne=8
62328	48	NaN	0.865626	error_enrichment_ne=8
63600	49	NaN	0.868896	error_enrichment_ne=8
64872	50	NaN	0.868084	error_enrichment_ne=8
66144	51	NaN	0.871089	error_enrichment_ne=8
67416	52	NaN	0.869853	error_enrichment_ne=8
68688	53	NaN	0.870940	error_enrichment_ne=8
69960	54	NaN	0.866312	error_enrichment_ne=8
71232	55	NaN	0.858396	error_enrichment_ne=8
72504	56	NaN	0.865383	error_enrichment_ne=8
73776	57	NaN	0.863995	error_enrichment_ne=8
75048	58	NaN	0.866624	error_enrichment_ne=8
76320	59	NaN	0.871251	error_enrichment_ne=8
77592	60	NaN	0.869505	error_enrichment_ne=8
78864	61	NaN	0.870749	error_enrichment_ne=8
80136	62	NaN	0.872412	error_enrichment_ne=8
81408	63	NaN	0.870849	error_enrichment_ne=8
82680	64	NaN	0.872369	error_enrichment_ne=8
83952	65	NaN	0.870615	error_enrichment_ne=8
85224	66	NaN	0.869804	error_enrichment_ne=8
86496	67	NaN	0.872533	error_enrichment_ne=8
87768	68	NaN	0.876612	error_enrichment_ne=8
89040	69	NaN	0.866512	error_enrichment_ne=8
90312	70	NaN	0.872617	error_enrichment_ne=8
91584	71	NaN	0.872394	error_enrichment_ne=8
92856	72	NaN	0.864763	error_enrichment_ne=8
94128	73	NaN	0.867195	error_enrichment_ne=8
95400	74	NaN	0.869703	error_enrichment_ne=8
96672	75	NaN	0.875920	error_enrichment_ne=8
97944	76	NaN	0.871751	error_enrichment_ne=8
99216	77	NaN	0.869099	error_enrichment_ne=8
100488	78	NaN	0.875121	error_enrichment_ne=8
101760	79	NaN	0.869872	error_enrichment_ne=8
103032	80	NaN	0.872230	error_enrichment_ne=8
104304	81	NaN	0.870604	error_enrichment_ne=8
105576	82	NaN	0.872636	error_enrichment_ne=8
106848	83	NaN	0.870811	error_enrichment_ne=8
108120	84	NaN	0.862904	error_enrichment_ne=8
