"gene"	"mRNA len"	"genomic span"	"DC_normal"	"DC_treated"	"DC0904"	"DC0907"	"DCLPS0910"	"DCLPS0913"	"A_DC"	"A_DC_LPS"	"B_DC"	"B_DC_LPS"	"C_DC"	"C_DC_LPS"	"C2DC"	"C2DCLPS"	"C3DC"	"C3DCLPS"
"Total"			34421746	35651172	18993731	15428015	19295809	16355363	15815593	18359702	15914475	29579632	20682552	26654329	24954250	26797323	30197188	23025806
"10a.872B9 (locus 10a)"	361	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16G2"	1444	12549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"214K23.2"	2522	31972	119	137	83	36	76	61	93	83	9	68	275	355	302	303	414	312
"2B4"	949	24007	0	0	0	0	0	0	13	0	0	0	29	58	61	106	56	37
"2E4"	1787	9122	0	0	0	0	0	0	94	73	0	0	101	107	145	85	153	92
44050	2315	19035	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
"5-OPase"	1020	1284	70	34	37	33	6	28	77	34	4	41	146	269	155	171	323	188
"5H9"	970	35347	268	51	163	105	19	32	367	200	0	250	1516	1406	1953	1857	1425	1399
"6M1-18"	478	29431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6a8b"	1551	8982	1881	1313	1303	578	529	784	663	1033	2186	1956	751	880	1847	1932	3307	1950
"7M1-2"	69	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A-328A3.5"	1570	1958	63	0	57	6	0	0	64	0	0	0	260	164	336	120	399	88
"A1"	1751	37974	0	0	0	0	0	0	132	25	0	0	17	8	0	0	30	0
"A121/SUI1"	1164	2772	873	1210	477	396	631	579	299	565	411	948	7634	14397	10090	17750	12150	14826
"A1BG"	1772	6693	256	46	113	143	46	0	183	57	192	149	134	174	254	186	450	278
"A1CF"	2386	79110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A2BP1"	4791	1694210	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
"A2LD1"	1273	57237	0	0	0	0	0	0	126	32	0	0	77	17	170	90	87	16
"A2LG"	3277	11467	2363	1883	1220	1143	1026	857	843	1071	1574	2838	1471	2489	3565	3633	4665	3915
"A2M"	4689	48256	6156	2420	3340	2816	1326	1094	2549	709	2338	1904	24801	17865	58886	55413	54742	51275
"A2ML1"	5222	54227	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0	0
"A3GALT2"	1028	14334	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0
"A4GALT"	2136	29160	11	0	11	0	0	0	112	56	0	0	45	40	0	9	0	0
"A4GNT"	1774	8671	39	10	22	17	0	10	0	9	0	0	50	12	0	0	0	0
"AA02"	610	3950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAA1"	1536	115467	0	0	0	0	0	0	0	0	0	0	41	46	0	0	0	0
"AAAS"	1852	14173	95	22	39	56	11	11	110	68	0	45	465	362	580	382	663	462
"AACS"	3340	77949	399	38	244	155	11	27	622	190	19	47	499	434	355	292	629	356
"AACSL"	2832	53572	0	0	0	0	0	0	46	34	0	0	0	0	0	0	0	0
"AADAC"	1612	14418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL2"	1503	23852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL3"	4053	12610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL4"	1578	22532	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
"AADAT"	2338	29811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAGAB"	2853	53707	1365	335	765	600	202	133	917	672	135	528	470	559	510	1073	637	1061
"AAK1"	21287	185852	18818	6083	10571	8247	3274	2809	8818	2940	10024	4856	3208	3555	2850	2333	2686	1718
"AAMP"	1807	6042	185	117	81	104	45	72	149	164	0	23	1372	959	1751	1568	2681	1161
"AANAT"	1008	2549	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
"AARS"	3365	37117	615	252	305	310	128	124	242	94	228	144	1233	1508	1592	1607	3019	1746
"AARS2"	4804	14602	361	63	194	167	29	34	235	55	51	84	313	427	474	371	610	415
"AARSD1"	2189	30002	38	0	28	10	0	0	41	26	0	0	154	188	311	271	271	238
"AASDH"	4491	44306	250	26	157	93	14	12	136	0	0	0	448	360	406	249	359	221
"AASDHPPT"	2867	21129	287	6	152	135	0	6	275	13	9	0	1233	962	881	682	1053	737
"AASS"	5893	70746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAT1"	1048	7341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AATF"	2156	107997	2408	1163	1428	980	724	439	1537	1249	475	1462	605	947	1132	1018	1076	800
"AATK"	5321	48774	297	567	173	124	280	287	556	1346	0	2214	58	144	44	269	280	228
"AB000466"	3004	6320	400	436	221	179	226	210	235	285	154	437	682	974	535	672	301	386
"AB004851"	745	14913	65	0	37	28	0	0	143	37	0	0	322	251	215	174	549	265
"AB007962"	5060	23800	0	9	0	0	9	0	0	0	0	0	0	42	0	40	0	0
"AB055772"	933	933	0	0	0	0	0	0	0	0	0	0	2356	2074	5500	5601	8897	6699
"AB062081"	409	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB073649"	2905	2905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB073667"	3562	3562	358	34	240	118	34	0	131	0	253	20	600	632	578	367	764	294
"AB074160"	4333	4333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB074162"	2238	2238	0	18	0	0	18	0	56	24	0	0	0	0	0	0	0	0
"AB074166"	4849	4849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"AB074188"	2092	2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB1"	1161	1161	60	0	24	36	0	0	100	0	0	0	0	0	0	0	0	549
"AB209061"	4068	4068	574	13	337	237	0	13	255	135	338	55	4485	3523	5764	3975	6792	4281
"AB209077"	451	4711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB209185"	1914	2565	0	0	0	0	0	0	41	0	0	0	102	38	91	109	98	106
"AB209575"	3589	3935	479	122	302	177	70	52	89	57	190	106	1308	1385	1302	1015	1673	1226
"AB209692"	7580	10347	0	0	0	0	0	0	32	14	0	0	0	0	0	0	0	0
"AB231702"	884	27258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231703"	219	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231705"	713	5268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231710"	248	1323	0	0	0	0	0	0	0	0	0	0	0	0	199	195	250	198
"AB231711"	153	1323	0	0	0	0	0	0	0	0	0	0	0	0	199	195	250	198
"AB231721"	208	7844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231722"	160	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231723"	176	4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231724"	157	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231729"	416	16984	513	67	316	197	35	32	814	226	135	101	114	259	66	53	61	5
"AB231731"	535	16984	513	67	316	197	35	32	814	226	135	101	114	259	66	53	61	5
"AB231737"	1009	4531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231740"	653	17565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231742"	165	17573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231754"	308	71023	0	0	0	0	0	0	93	32	0	0	0	0	0	0	0	0
"AB231755"	233	71023	0	0	0	0	0	0	93	32	0	0	0	0	0	0	0	0
"AB231756"	386	71023	0	0	0	0	0	0	93	32	0	0	0	0	0	0	0	0
"AB231757"	236	71023	0	0	0	0	0	0	93	32	0	0	0	0	0	0	0	0
"AB231758"	83	71023	0	0	0	0	0	0	93	32	0	0	0	0	0	0	0	0
"AB231759"	294	1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231760"	213	1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231761"	146	5341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231779"	891	9289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"AB231784"	168	6188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB240015"	591	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB330770"	23	23	284	12558	158	126	9014	3544	56	3129	0	3866	225	1384	0	602	0	536
"AB429224"	1157	4988	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0
"ABAT"	5601	71607	4725	476	2590	2135	335	141	2371	607	3313	1142	1856	1992	2608	2452	2527	1688
"ABCA1"	10460	147153	118	1452	81	37	837	615	1589	2796	61	334	863	1258	1276	1656	1380	1229
"ABCA10"	6371	96810	66	279	12	54	168	111	17	23	2	13	51	46	10	27	20	8
"ABCA11P"	1898	48776	3118	1338	1748	1370	697	641	1429	557	946	987	763	683	683	312	817	292
"ABCA12"	9234	206886	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
"ABCA13"	17246	476036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCA17"	4205	85779	0	0	0	0	0	0	10	0	0	0	0	1	0	1	0	1
"ABCA2"	8203	21056	1090	689	558	532	348	341	798	601	1296	587	1646	1952	2069	2060	2757	1974
"ABCA3"	6656	64870	15	0	4	11	0	0	315	101	0	0	187	229	150	87	332	142
"ABCA4"	7373	128311	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
"ABCA4 variant protein"	1163	8297	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
"ABCA5"	9287	71200	2168	2491	1185	983	1372	1119	529	666	133	723	448	874	363	292	422	235
"ABCA6"	5335	63170	6508	4486	4040	2468	2463	2023	2064	1498	1174	3190	4759	7145	9957	7478	2257	943
"ABCA7"	6863	25468	994	330	472	522	185	145	756	494	574	176	778	810	1161	1072	2508	1463
"ABCA7/ABCA-SSN"	1959	8664	382	72	207	175	50	22	280	165	88	63	162	209	369	378	859	477
"ABCA8"	6039	88102	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ABCA9"	6339	86364	901	2192	474	427	1250	942	134	735	26	1441	509	1287	698	959	115	27
"ABCB1"	4901	209618	0	0	0	0	0	0	0	0	0	0	42	57	69	52	67	46
"ABCB10"	3869	42114	1215	116	673	542	66	50	529	126	233	226	619	650	770	687	847	615
"ABCB11"	4803	108386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCB4"	4016	73660	242	7	119	123	4	3	55	4	20	0	268	293	280	133	272	146
"ABCB5"	5428	141393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCB6"	4493	10682	153	47	52	101	22	25	251	71	41	0	1387	915	1396	843	370	246
"ABCB7"	2401	103027	744	55	459	285	43	12	698	96	41	73	376	685	787	635	698	640
"ABCB8"	4749	19359	525	47	274	251	30	17	639	254	289	117	472	472	718	647	800	625
"ABCB9"	3809	46214	79	0	35	44	0	0	604	165	53	0	341	227	330	223	540	431
"ABCC1"	6592	193496	21096	12251	11765	9331	6510	5741	8532	7716	12082	13539	3786	4584	4692	4485	5631	4280
"ABCC10"	5108	18676	2036	531	1121	915	288	243	797	281	1006	416	768	852	1096	916	1629	714
"ABCC11"	4891	65362	81	0	58	23	0	0	55	15	0	0	0	62	0	0	0	0
"ABCC12"	5217	73047	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0	0
"ABCC13"	3375	64217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCC2"	5083	69201	0	0	0	0	0	0	11	0	0	0	3	25	26	19	12	12
"ABCC3"	5196	56846	10751	3354	5959	4792	1803	1551	4751	1701	13396	4172	2357	2049	7170	5411	8044	4869
"ABCC4"	5873	281605	1023	738	607	416	433	305	940	1126	120	409	802	1050	597	525	894	588
"ABCC5"	5871	98003	1639	412	936	703	197	215	1034	295	657	467	862	1092	1733	1720	1853	1037
"ABCC6"	5147	73907	99	33	42	57	33	0	145	95	0	0	156	40	0	0	0	0
"ABCC6P1"	2849	27037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCC8"	5016	84018	0	0	0	0	0	0	255	91	0	0	0	0	0	0	0	0
"ABCC9"	8360	139304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCD1"	3674	19895	1836	307	1004	832	204	103	1011	350	1235	464	1169	1274	2331	1610	2731	1778
"ABCD2"	5351	68823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCD3"	4377	37171	658	50	391	267	33	17	654	58	25	39	1038	1136	1019	865	1171	760
"ABCD4"	3176	17789	768	5	443	325	0	5	394	63	569	102	571	474	961	598	1090	565
"ABCE1"	4422	31521	645	2886	371	274	1627	1259	234	1253	0	833	1260	2471	2343	2603	2179	1638
"ABCF1"	3488	20135	670	1281	360	310	642	639	310	729	110	1625	2212	3429	1631	2941	2117	2541
"ABCF2"	3561	14742	79	50	21	58	50	0	131	313	25	263	936	1094	1248	985	1906	1076
"ABCF3"	2593	7934	648	160	341	307	72	88	298	150	0	221	1369	795	1473	749	2064	1063
"ABCG1"	3175	97555	5255	309	2853	2402	154	155	4010	1231	342	0	2011	1414	1720	1123	3155	1689
"ABCG2"	4446	68596	0	0	0	0	0	0	8	0	0	1	150	127	783	782	347	475
"ABCG4"	3848	13624	0	0	0	0	0	0	20	49	0	0	0	0	0	0	0	0
"ABCG5"	3106	26394	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"ABCG8"	2677	39503	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
"ABH8"	3801	54277	69	0	49	20	0	0	69	15	0	0	244	228	236	152	240	85
"ABHD1"	1453	7023	47	0	22	25	0	0	59	12	0	0	0	1	0	0	0	0
"ABHD10"	2647	14382	477	35	273	204	18	17	360	32	99	0	1918	1057	1194	540	1646	726
"ABHD11"	1479	2765	17	0	0	17	0	0	91	0	35	0	179	284	287	179	377	164
"ABHD12"	1979	90629	13220	1642	7310	5910	821	821	5206	1102	5848	686	4475	3985	5727	4245	7026	4986
"ABHD12B"	1720	32811	1	0	0	1	0	0	87	0	0	0	0	0	1	0	0	0
"ABHD13"	5303	15841	1345	466	736	609	245	221	739	317	233	205	836	1467	827	790	934	804
